Path,Surface(micron2),Phase_PV(nm),Phase_StdDev(nm),Phase_avg(nm),Phase_median(nm),Surface_density(pg/micron2),Dry_mass(pg),Optical_volume(micron3),Phase_max(nm),Phase_min(nm),Circularity,Perimeter(micron),Ellipse_axis_ratio,Convexity,Solidity,Surface_Centroid_X,Surface_Centroid_Y,Mass_Centroid_X,Mass_Centroid_Y
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0004.tif,758.974,542.998,177.764,251.791,279.262,1.399,1061.68,191.102,543.798,0.8,0.77,111.326,0.882,0.746,0.851,194.472,154.659,193.345,153.043
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0005.tif,748.569,544.461,176.387,255.229,285.349,1.418,1061.424,191.056,542.982,-1.479,0.672,118.332,0.882,0.717,0.834,194.639,154.253,193.902,153.158
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0006.tif,761.164,550.506,178.737,251.587,276.034,1.398,1063.883,191.499,549.851,-0.655,0.718,115.393,0.89,0.741,0.85,194.745,154.525,193.818,153.318
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0007.tif,720.094,554.176,176.785,266.692,299.666,1.482,1066.906,192.043,552.405,-1.771,0.749,109.9,0.968,0.751,0.848,194.157,154.212,194.042,153.431
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0008.tif,720.642,538.634,177.367,266.777,302.924,1.482,1068.058,192.25,537.378,-1.256,0.757,109.345,0.9,0.749,0.844,194.236,154.236,194.341,153.595
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0009.tif,697.095,534.896,172.601,274.037,315.614,1.522,1061.276,191.03,527.235,-7.661,0.8,104.671,0.922,0.76,0.868,194.848,154.528,194.399,153.856
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0010.tif,698.738,533.708,173.247,274.344,314.32,1.524,1064.971,191.695,529.993,-3.714,0.819,103.559,0.914,0.762,0.876,195.036,154.611,194.451,154.05
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0011.tif,703.118,538.824,174.62,272.239,308.687,1.512,1063.425,191.417,537.285,-1.539,0.829,103.233,0.882,0.745,0.876,194.887,155.046,194.1,154.374
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0012.tif,713.523,531.878,178.133,267.914,296.745,1.488,1062.016,191.163,529.355,-2.523,0.857,102.276,0.881,0.772,0.885,195.378,155.518,194.385,154.589
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0013.tif,710.237,532.703,178.288,269.254,290.707,1.496,1062.411,191.234,533.511,0.808,0.893,99.99,0.894,0.789,0.887,195.875,155.476,195.106,154.728
